,Movie ID,Title,IMDB Rating,Directors,Writers,Stars,Storyline,Release Date,Origin Countries,Languages,Budget,Gross Worldwide,Runtime,Genres
285,tt24169886,The Instigators,N/A,​Doug Liman,"​Casey Affleck, ​Chuck MacLean","noneStars, ​Matt Damon, ​Casey Affleck, ​Hong Chau, noneStars",Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.,Release date,United States,English,N/A,N/A,N/A,"Action, Comedy, Crime"
286,tt11674730,The Last Stop in Yuma County,6.9,​Francis Galluppi,​Francis Galluppi,"noneStars, ​Jim Cummings, ​Faizon Love, ​Jocelin Donahue, noneStars","While stranded at a rural Arizona rest stop, a traveling salesman is thrust into a dire hostage situation by the arrival of two bank robbers with no qualms about using cruelty-or cold, hard steel-to protect their bloodstained fortune.",Release date,United States,English,N/A,"$94,344",1 hour 30 minutes,"Crime, Thriller"
287,tt13274016,Reptile,6.8,​Grant Singer,"noneWriters, ​Grant Singer, ​Benjamin Brewer, ​Benicio Del Toro, noneWriters","noneStars, ​Benicio Del Toro, ​Justin Timberlake, ​Eric Bogosian, noneStars","Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life.",Release date,United States,English,N/A,N/A,2 hours 14 minutes,"Crime, Drama, Mystery"
288,tt15782690,In the Land of Saints and Sinners,6.3,​Robert Lorenz,"​Mark Michael McNally, ​Terry Loane","noneStars, ​Kerry Condon, ​Desmond Eastwood, ​Conor MacNeill, noneStars",A disillusioned hitman comes out of retirement for one last job when an IRA bomber on the run from the law arrives in his sleepy Irish village.,Release date,Ireland,English,N/A,"$3,208,712",1 hour 46 minutes,"Action, Crime, Thriller"
289,tt0094291,Wall Street,7.3,​Oliver Stone,"​Stanley Weiser, ​Oliver Stone","noneStars, ​Charlie Sheen, ​Michael Douglas, ​Tamara Tunie, noneStars","An impatient young stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless, greedy corporate raider who takes the youth under his wing.",Release date,United States,English,"$15,000,000 (estimated)","$43,848,069",2 hours 6 minutes,"Crime, Drama"
290,tt14364480,Wake Up Dead Man: A Knives Out Mystery,N/A,​Rian Johnson,​Rian Johnson,"noneStars, ​Cailee Spaeny, ​Josh Brolin, ​Daniel Craig, noneStars",Plot unknown. Sequel to 'Glass Onion (2022)'.,Release date,United States,English,"$40,000,000 (estimated)",N/A,N/A,"Comedy, Crime, Drama"
291,tt3083016,Beverly Hills Cop: Axel F,N/A,​Mark Molloy,"noneWriters, ​Will Beall, ​Tom Gormican, ​Kevin Etten, noneWriters","noneStars, ​Kevin Bacon, ​Eddie Murphy, ​Joseph Gordon-Levitt, noneStars",Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.,Release date,United States,English,N/A,N/A,1 hour 55 minutes,"Action, Comedy, Crime"
292,tt0099685,Goodfellas,8.7,​Martin Scorsese,"noneWriters, ​Nicholas Pileggi, ​Martin Scorsese, noneWriters","noneStars, ​Robert De Niro, ​Ray Liotta, ​Joe Pesci, noneStars","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Release date,United States,"English, Italian, Hebrew, Yiddish","$25,000,000 (estimated)","$47,049,784",2 hours 25 minutes,"Biography, Crime, Drama"
293,tt0102926,The Silence of the Lambs,8.6,​Jonathan Demme,"​Thomas Harris, ​Ted Tally","noneStars, ​Jodie Foster, ​Anthony Hopkins, ​Scott Glenn, noneStars","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Release date,United States,"English, Latin","$19,000,000 (estimated)","$272,742,922",1 hour 58 minutes,"Crime, Drama, Thriller"
294,tt10366206,John Wick: Chapter 4,7.7,​Chad Stahelski,"​Shay Hatten, ​Michael Finch, ​Derek Kolstad","noneStars, ​Keanu Reeves, ​Laurence Fishburne, ​George Georgiou, noneStars","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Release date,"Germany, United States","English, Russian, Japanese, Spanish, German, Latin, Cantonese, French","$100,000,000 (estimated)","$440,157,245",2 hours 49 minutes,"Action, Crime, Thriller"
295,tt8946378,Knives Out,7.9,​Rian Johnson,​Rian Johnson,"noneStars, ​Daniel Craig, ​Chris Evans, ​Ana de Armas, noneStars","A detective investigates the death of the patriarch of an eccentric, combative family.",Release date,United States,"English, Spanish, Hindi","$40,000,000 (estimated)","$312,897,920",2 hours 10 minutes,"Comedy, Crime, Drama"
296,tt0398165,The Longest Yard,6.4,​Peter Segal,"​Albert S. Ruddy, ​Tracy Keenan Wynn, ​Sheldon Turner","noneStars, ​Adam Sandler, ​Burt Reynolds, ​Chris Rock, noneStars",Prison inmates form a football team to challenge the prison guards.,Release date,United States,English,"$82,000,000 (estimated)","$191,466,556",1 hour 53 minutes,"Comedy, Crime, Sport"
297,tt11564570,Glass Onion,7.1,​Rian Johnson,​Rian Johnson,"noneStars, ​Daniel Craig, ​Edward Norton, ​Kate Hudson, noneStars","Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case.",Release date,United States,"English, French","$40,000,000 (estimated)","$13,280,000",2 hours 19 minutes,"Comedy, Crime, Drama"
298,tt0430105,Four Brothers,6.8,​John Singleton,"​David Elliot, ​Paul Lovett","noneStars, ​Mark Wahlberg, ​Tyrese Gibson, ​André 3000, noneStars","When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems.",Release date,United States,English,"$45,000,000 (estimated)","$92,374,674",1 hour 49 minutes,"Action, Crime, Drama"
299,tt0407887,The Departed,8.5,​Martin Scorsese,"​William Monahan, ​Alan Mak, ​Felix Chong","noneStars, ​Leonardo DiCaprio, ​Matt Damon, ​Jack Nicholson, noneStars",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Release date,"United States, Hong Kong","English, Cantonese","$90,000,000 (estimated)","$291,481,358",2 hours 31 minutes,"Crime, Drama, Thriller"
300,tt20234774,Wicked Little Letters,7.0,​Thea Sharrock,​Jonny Sweet,"noneStars, ​Jessie Buckley, ​Olivia Colman, ​Timothy Spall, noneStars","When people in Littlehampton--including conservative local Edith--begin to receive letters full of hilarious profanities, rowdy Irish migrant Rose is charged with the crime. Suspecting that something is amiss, the town's women investigate.",Release date,"United Kingdom, United States, France",English,N/A,"$26,415,328",1 hour 40 minutes,"Comedy, Crime, Drama"
